EmployeeNumber,Age,Gender,BusinessTravel,DistanceFromHome,Education,EducationField,MaritalStatus,Department,JobRole,Attrition
128,24,Female,Travel_Rarely,3,2,Other,Married,Sales,Sales Executive,No
129,28,Male,Non-Travel,4,3,Medical,Married,Sales,Sales Executive,No
131,58,Male,Travel_Rarely,10,4,Medical,Single,Sales,Sales Executive,No
132,44,Male,Non-Travel,23,3,Medical,Married,Research & Development,Laboratory Technician,No
133,37,Male,Travel_Rarely,6,4,Human Resources,Divorced,Human Resources,Human Resources,Yes
134,32,Male,Travel_Rarely,1,1,Life Sciences,Single,Research & Development,Research Scientist,No
137,20,Female,Travel_Frequently,6,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
138,34,Female,Travel_Rarely,6,4,Other,Single,Research & Development,Research Scientist,No
139,37,Male,Non-Travel,2,2,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
140,59,Female,Non-Travel,2,4,Human Resources,Married,Human Resources,Manager,No
141,50,Female,Travel_Frequently,1,3,Life Sciences,Married,Research & Development,Research Director,No
142,25,Male,Travel_Rarely,5,3,Marketing,Single,Sales,Sales Executive,Yes
143,25,Male,Travel_Rarely,7,1,Medical,Married,Research & Development,Research Scientist,No
144,22,Female,Travel_Rarely,15,3,Medical,Single,Research & Development,Laboratory Technician,No
145,51,Female,Travel_Frequently,1,4,Medical,Single,Research & Development,Healthcare Representative,No
147,34,Male,Travel_Frequently,7,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
148,54,Female,Non-Travel,26,3,Human Resources,Single,Human Resources,Manager,No
150,24,Male,Travel_Rarely,18,1,Life Sciences,Married,Research & Development,Laboratory Technician,No
151,34,Female,Travel_Rarely,6,4,Life Sciences,Divorced,Research & Development,Research Scientist,No
152,37,Male,Travel_Rarely,3,3,Life Sciences,Single,Sales,Sales Executive,No
153,34,Female,Travel_Rarely,5,3,Medical,Single,Research & Development,Manager,No
154,36,Female,Travel_Frequently,11,2,Technical Degree,Married,Sales,Sales Executive,No
155,36,Female,Travel_Rarely,3,2,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
158,43,Male,Travel_Frequently,26,2,Life Sciences,Married,Sales,Manager,No
159,30,Male,Travel_Frequently,23,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
160,33,Male,Non-Travel,22,2,Marketing,Married,Sales,Sales Executive,No
161,56,Female,Travel_Rarely,14,4,Life Sciences,Married,Research & Development,Research Scientist,Yes
162,51,Male,Travel_Rarely,6,3,Life Sciences,Single,Research & Development,Research Director,No
163,31,Male,Travel_Rarely,6,4,Life Sciences,Married,Sales,Sales Executive,Yes
164,26,Female,Travel_Rarely,6,3,Other,Married,Research & Development,Research Scientist,No
165,58,Female,Travel_Rarely,23,4,Medical,Married,Research & Development,Healthcare Representative,Yes
167,19,Male,Travel_Rarely,22,1,Marketing,Single,Sales,Sales Representative,Yes
169,22,Male,Travel_Rarely,2,1,Technical Degree,Married,Research & Development,Laboratory Technician,No
170,49,Female,Travel_Rarely,20,4,Medical,Married,Research & Development,Manufacturing Director,No
171,43,Female,Travel_Frequently,28,3,Medical,Single,Research & Development,Research Scientist,No
174,50,Female,Travel_Frequently,12,3,Marketing,Single,Sales,Sales Executive,No
175,31,Female,Travel_Rarely,20,3,Life Sciences,Married,Sales,Sales Executive,Yes
176,41,Male,Travel_Rarely,9,1,Life Sciences,Divorced,Sales,Sales Executive,No
177,26,Female,Travel_Rarely,25,1,Life Sciences,Married,Human Resources,Human Resources,No
178,36,Male,Travel_Rarely,6,2,Medical,Divorced,Research & Development,Manufacturing Director,No
179,51,Male,Travel_Frequently,8,4,Life Sciences,Single,Research & Development,Manufacturing Director,Yes
182,39,Female,Travel_Rarely,4,4,Life Sciences,Married,Sales,Sales Executive,No
183,25,Male,Travel_Rarely,28,3,Life Sciences,Married,Sales,Sales Executive,No
184,30,Male,Travel_Rarely,9,3,Human Resources,Married,Human Resources,Human Resources,No
190,32,Female,Travel_Rarely,9,3,Medical,Single,Research & Development,Laboratory Technician,Yes
192,45,Male,Travel_Rarely,29,3,Medical,Single,Research & Development,Research Scientist,No
193,38,Female,Travel_Rarely,3,5,Technical Degree,Single,Research & Development,Research Scientist,No
194,30,Female,Travel_Rarely,18,3,Life Sciences,Single,Research & Development,Research Scientist,No
195,32,Male,Travel_Frequently,9,2,Medical,Divorced,Sales,Sales Executive,No
197,30,Female,Travel_Rarely,5,3,Technical Degree,Divorced,Research & Development,Research Scientist,No
198,30,Male,Travel_Rarely,2,1,Medical,Single,Research & Development,Laboratory Technician,No
199,41,Male,Travel_Frequently,10,3,Life Sciences,Divorced,Research & Development,Manager,No
200,41,Male,Travel_Rarely,9,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
201,19,Female,Travel_Rarely,3,1,Medical,Single,Research & Development,Laboratory Technician,No
202,40,Female,Travel_Frequently,26,3,Medical,Divorced,Research & Development,Research Scientist,No
204,35,Male,Travel_Rarely,1,5,Marketing,Married,Sales,Sales Executive,No
205,53,Male,Travel_Rarely,6,2,Marketing,Married,Sales,Sales Representative,No
206,45,Male,Travel_Rarely,9,3,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
207,32,Female,Travel_Frequently,8,3,Marketing,Single,Sales,Sales Executive,No
208,29,Male,Non-Travel,1,1,Technical Degree,Married,Research & Development,Manufacturing Director,No
211,51,Male,Travel_Rarely,7,4,Medical,Married,Research & Development,Manufacturing Director,No
214,58,Female,Travel_Rarely,9,3,Medical,Married,Research & Development,Research Scientist,No
215,40,Male,Travel_Rarely,4,4,Marketing,Married,Sales,Sales Executive,No
216,34,Female,Travel_Frequently,2,4,Marketing,Married,Sales,Sales Representative,No
217,22,Male,Travel_Rarely,19,1,Medical,Married,Research & Development,Research Scientist,No
218,27,Male,Non-Travel,9,3,Medical,Divorced,Research & Development,Research Scientist,No
221,28,Male,Travel_Rarely,21,3,Medical,Married,Research & Development,Research Scientist,No
223,57,Male,Travel_Rarely,24,2,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
224,27,Male,Non-Travel,3,3,Medical,Divorced,Research & Development,Research Scientist,No
226,50,Female,Travel_Rarely,11,3,Life Sciences,Single,Research & Development,Manager,No
227,41,Male,Travel_Rarely,14,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
228,30,Female,Travel_Rarely,5,3,Life Sciences,Married,Sales,Sales Executive,No
230,38,Female,Travel_Rarely,1,4,Life Sciences,Single,Sales,Sales Executive,No
231,32,Male,Travel_Rarely,6,5,Life Sciences,Single,Research & Development,Research Scientist,No
233,27,Male,Travel_Rarely,17,3,Technical Degree,Married,Research & Development,Research Scientist,No
235,19,Female,Travel_Frequently,1,1,Technical Degree,Single,Sales,Sales Representative,Yes
238,36,Male,Travel_Frequently,3,2,Medical,Single,Research & Development,Laboratory Technician,No
239,30,Male,Non-Travel,9,3,Medical,Divorced,Research & Development,Laboratory Technician,No
240,45,Female,Travel_Rarely,4,2,Life Sciences,Divorced,Sales,Sales Executive,No
241,56,Female,Travel_Rarely,8,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
242,33,Male,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Research Scientist,No
243,19,Male,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
244,46,Female,Travel_Rarely,1,2,Marketing,Divorced,Sales,Sales Executive,No
245,38,Female,Travel_Rarely,9,2,Life Sciences,Single,Research & Development,Laboratory Technician,No
246,31,Female,Travel_Rarely,12,1,Medical,Married,Research & Development,Research Scientist,No
247,34,Female,Travel_Rarely,27,2,Medical,Single,Research & Development,Research Scientist,No
248,41,Female,Travel_Rarely,20,2,Marketing,Single,Sales,Sales Representative,Yes
249,50,Male,Travel_Rarely,1,3,Medical,Married,Research & Development,Laboratory Technician,No
250,53,Female,Travel_Rarely,13,2,Medical,Divorced,Research & Development,Manufacturing Director,No
252,33,Female,Travel_Rarely,14,3,Medical,Married,Research & Development,Research Scientist,No
253,40,Female,Travel_Rarely,4,1,Medical,Married,Research & Development,Manager,No
254,55,Male,Travel_Rarely,14,4,Medical,Single,Research & Development,Research Director,No
256,34,Male,Travel_Frequently,2,1,Life Sciences,Married,Research & Development,Manufacturing Director,No
258,51,Female,Travel_Rarely,3,3,Medical,Single,Research & Development,Healthcare Representative,No
259,52,Male,Travel_Rarely,1,4,Life Sciences,Married,Research & Development,Manager,No
260,27,Female,Travel_Rarely,9,3,Medical,Single,Research & Development,Research Scientist,No
261,35,Male,Travel_Rarely,23,2,Life Sciences,Married,Research & Development,Manufacturing Director,Yes
262,43,Male,Non-Travel,7,3,Medical,Divorced,Research & Development,Research Scientist,No
264,45,Male,Non-Travel,2,2,Medical,Married,Research & Development,Manager,No
267,37,Male,Travel_Rarely,21,3,Life Sciences,Married,Research & Development,Research Scientist,No
269,35,Female,Travel_Frequently,2,3,Medical,Single,Research & Development,Laboratory Technician,No
270,42,Female,Non-Travel,21,2,Medical,Divorced,Research & Development,Manufacturing Director,No
271,38,Male,Travel_Rarely,2,4,Life Sciences,Married,Research & Development,Manufacturing Director,No
273,38,Male,Travel_Rarely,29,3,Technical Degree,Married,Research & Development,Manufacturing Director,No
274,27,Male,Travel_Frequently,1,1,Technical Degree,Married,Research & Development,Manufacturing Director,No
275,49,Male,Non-Travel,18,4,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
277,34,Male,Travel_Frequently,10,4,Medical,Divorced,Research & Development,Research Scientist,No
281,40,Male,Travel_Rarely,19,2,Medical,Married,Research & Development,Laboratory Technician,No
282,38,Male,Travel_Rarely,29,1,Medical,Married,Research & Development,Healthcare Representative,Yes
283,29,Female,Travel_Rarely,27,3,Marketing,Married,Sales,Sales Executive,Yes
284,22,Male,Travel_Rarely,5,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
286,36,Female,Travel_Frequently,18,1,Medical,Single,Research & Development,Laboratory Technician,No
287,40,Male,Non-Travel,9,5,Life Sciences,Married,Research & Development,Healthcare Representative,No
288,46,Male,Travel_Rarely,1,4,Medical,Divorced,Research & Development,Healthcare Representative,No
291,32,Male,Travel_Rarely,4,4,Medical,Married,Sales,Sales Executive,Yes
292,30,Male,Non-Travel,1,1,Life Sciences,Single,Research & Development,Manufacturing Director,No
293,27,Female,Travel_Frequently,20,3,Life Sciences,Single,Sales,Sales Executive,No
296,51,Male,Travel_Rarely,8,4,Life Sciences,Married,Research & Development,Research Director,No
297,30,Female,Travel_Rarely,3,3,Technical Degree,Single,Research & Development,Research Scientist,Yes
298,41,Female,Travel_Rarely,6,3,Life Sciences,Single,Sales,Manager,No
299,30,Female,Travel_Frequently,26,4,Marketing,Single,Sales,Sales Executive,Yes
300,29,Male,Travel_Rarely,1,3,Technical Degree,Single,Research & Development,Research Scientist,Yes
302,45,Female,Non-Travel,6,3,Medical,Single,Sales,Sales Executive,No
303,54,Female,Travel_Rarely,3,3,Marketing,Married,Sales,Sales Executive,No
304,36,Male,Travel_Rarely,5,2,Life Sciences,Single,Research & Development,Laboratory Technician,No
305,33,Female,Travel_Rarely,4,4,Medical,Married,Research & Development,Research Scientist,No
306,37,Male,Travel_Frequently,11,3,Other,Divorced,Research & Development,Research Director,No
307,38,Male,Travel_Rarely,3,3,Life Sciences,Divorced,Sales,Sales Executive,No
308,31,Male,Non-Travel,1,4,Medical,Married,Research & Development,Manufacturing Director,No
309,59,Male,Travel_Rarely,3,3,Life Sciences,Married,Research & Development,Research Scientist,No
311,37,Male,Travel_Frequently,4,4,Marketing,Divorced,Sales,Sales Representative,No
312,29,Female,Travel_Frequently,1,1,Medical,Married,Sales,Sales Executive,No
314,35,Female,Travel_Frequently,1,3,Marketing,Single,Sales,Sales Executive,No
315,29,Male,Travel_Rarely,18,1,Medical,Single,Research & Development,Research Scientist,Yes
316,52,Female,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Laboratory Technician,No
319,42,Male,Travel_Rarely,4,2,Technical Degree,Married,Research & Development,Manager,No
321,59,Male,Travel_Rarely,6,2,Medical,Married,Human Resources,Human Resources,No
323,50,Female,Travel_Rarely,1,4,Medical,Divorced,Sales,Manager,No
325,33,Male,Travel_Rarely,14,3,Medical,Married,Research & Development,Laboratory Technician,Yes
327,43,Female,Travel_Rarely,16,3,Marketing,Married,Sales,Manager,No
328,33,Female,Travel_Rarely,2,2,Life Sciences,Married,Research & Development,Laboratory Technician,Yes
329,52,Male,Non-Travel,2,4,Life Sciences,Single,Sales,Manager,No
330,32,Female,Travel_Rarely,4,2,Life Sciences,Married,Sales,Sales Representative,No
331,32,Male,Travel_Rarely,1,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
332,39,Female,Travel_Rarely,1,4,Medical,Divorced,Research & Development,Laboratory Technician,No
333,32,Male,Non-Travel,26,4,Marketing,Married,Sales,Sales Executive,No
334,41,Male,Travel_Rarely,19,2,Life Sciences,Divorced,Research & Development,Research Scientist,No
335,40,Male,Travel_Rarely,24,2,Technical Degree,Divorced,Research & Development,Research Scientist,No
336,45,Male,Travel_Rarely,1,3,Other,Married,Research & Development,Manager,No
337,31,Male,Travel_Frequently,3,4,Medical,Divorced,Research & Development,Research Director,No
338,33,Female,Travel_Rarely,5,4,Life Sciences,Married,Research & Development,Research Scientist,No
339,34,Male,Travel_Rarely,2,4,Life Sciences,Married,Research & Development,Manufacturing Director,No
340,37,Female,Travel_Rarely,1,2,Medical,Married,Research & Development,Research Scientist,No
341,45,Male,Travel_Frequently,7,4,Life Sciences,Married,Research & Development,Manufacturing Director,No
342,37,Male,Travel_Frequently,10,3,Medical,Divorced,Research & Development,Manufacturing Director,Yes
343,39,Female,Travel_Frequently,2,4,Technical Degree,Single,Research & Development,Healthcare Representative,No
346,29,Male,Travel_Rarely,15,3,Life Sciences,Single,Research & Development,Research Scientist,No
347,42,Female,Travel_Rarely,17,2,Life Sciences,Single,Research & Development,Research Scientist,No
349,29,Male,Travel_Rarely,20,2,Marketing,Divorced,Sales,Sales Executive,No
350,25,Female,Travel_Rarely,1,3,Life Sciences,Married,Research & Development,Manufacturing Director,No
351,42,Female,Travel_Rarely,2,3,Medical,Divorced,Research & Development,Laboratory Technician,No
352,40,Male,Travel_Rarely,2,2,Medical,Divorced,Research & Development,Research Director,No
353,51,Male,Travel_Rarely,1,3,Life Sciences,Married,Research & Development,Research Scientist,No
355,31,Male,Travel_Frequently,29,2,Medical,Single,Research & Development,Laboratory Technician,Yes
359,32,Male,Travel_Frequently,7,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
361,38,Male,Non-Travel,2,2,Life Sciences,Married,Sales,Sales Executive,No
362,32,Male,Travel_Rarely,2,1,Technical Degree,Single,Research & Development,Laboratory Technician,No
363,46,Female,Travel_Rarely,2,3,Technical Degree,Married,Sales,Manager,No
364,28,Male,Travel_Rarely,2,4,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
366,29,Male,Travel_Rarely,2,3,Medical,Married,Sales,Sales Executive,No
367,31,Male,Travel_Rarely,23,3,Medical,Married,Research & Development,Healthcare Representative,No
369,25,Male,Non-Travel,5,2,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
372,45,Male,Travel_Rarely,20,2,Medical,Married,Research & Development,Healthcare Representative,No
373,36,Male,Travel_Rarely,6,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
374,55,Male,Travel_Rarely,1,3,Medical,Single,Research & Development,Manager,No
376,47,Male,Non-Travel,29,4,Life Sciences,Married,Research & Development,Manager,Yes
377,28,Male,Travel_Rarely,9,3,Medical,Married,Research & Development,Research Scientist,No
378,37,Male,Travel_Rarely,6,4,Medical,Married,Sales,Sales Executive,No
379,21,Male,Travel_Rarely,3,2,Medical,Single,Research & Development,Research Scientist,No
380,37,Female,Non-Travel,1,4,Medical,Divorced,Research & Development,Research Director,No
381,35,Female,Travel_Rarely,22,3,Life Sciences,Divorced,Research & Development,Manager,No
382,38,Female,Travel_Rarely,7,2,Medical,Divorced,Sales,Sales Executive,No
384,26,Female,Travel_Frequently,1,3,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
385,50,Male,Travel_Rarely,4,1,Life Sciences,Divorced,Research & Development,Research Director,No
386,53,Male,Travel_Rarely,3,4,Medical,Married,Research & Development,Research Director,No
387,42,Male,Travel_Rarely,1,1,Life Sciences,Married,Sales,Sales Executive,No
388,29,Male,Travel_Frequently,2,2,Life Sciences,Single,Sales,Sales Executive,No
389,55,Male,Travel_Rarely,20,2,Technical Degree,Married,Research & Development,Laboratory Technician,No
390,26,Male,Travel_Frequently,11,2,Medical,Married,Research & Development,Healthcare Representative,No
391,37,Female,Travel_Rarely,1,3,Life Sciences,Single,Research & Development,Research Scientist,No
392,44,Male,Travel_Frequently,24,3,Life Sciences,Divorced,Research & Development,Laboratory Technician,Yes
393,38,Male,Travel_Rarely,23,4,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
394,26,Male,Travel_Rarely,16,4,Medical,Divorced,Research & Development,Laboratory Technician,Yes
395,28,Female,Travel_Rarely,8,2,Life Sciences,Single,Research & Development,Research Scientist,No
396,49,Female,Travel_Frequently,10,4,Life Sciences,Single,Research & Development,Research Director,No
397,36,Male,Travel_Rarely,3,3,Technical Degree,Single,Research & Development,Research Scientist,No
399,31,Female,Travel_Frequently,5,3,Marketing,Divorced,Sales,Sales Representative,No
401,26,Male,Travel_Rarely,4,4,Marketing,Single,Sales,Sales Executive,Yes
403,37,Male,Travel_Frequently,9,3,Medical,Married,Research & Development,Research Scientist,No
404,42,Female,Travel_Frequently,26,3,Marketing,Married,Sales,Sales Executive,No
405,18,Male,Travel_Rarely,3,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
406,35,Male,Travel_Rarely,16,3,Marketing,Married,Sales,Sales Executive,No
407,36,Male,Travel_Frequently,18,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
408,51,Male,Travel_Rarely,2,3,Medical,Divorced,Research & Development,Manufacturing Director,No
410,41,Male,Travel_Rarely,2,4,Life Sciences,Single,Sales,Manager,No
411,18,Female,Travel_Rarely,10,3,Medical,Single,Sales,Sales Representative,No
412,28,Male,Travel_Rarely,16,2,Medical,Single,Research & Development,Healthcare Representative,No
416,31,Male,Travel_Rarely,7,3,Technical Degree,Married,Sales,Sales Executive,No
417,39,Male,Travel_Rarely,1,3,Medical,Divorced,Research & Development,Healthcare Representative,No
419,36,Female,Non-Travel,24,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
420,32,Male,Travel_Rarely,7,3,Life Sciences,Married,Sales,Sales Executive,No
421,38,Female,Travel_Rarely,25,2,Life Sciences,Married,Research & Development,Research Director,No
422,58,Male,Non-Travel,1,4,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
423,31,Male,Travel_Rarely,5,4,Technical Degree,Married,Research & Development,Research Scientist,No
424,31,Male,Travel_Rarely,2,3,Human Resources,Married,Human Resources,Human Resources,No
425,45,Male,Travel_Frequently,7,3,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
426,31,Male,Travel_Rarely,2,4,Life Sciences,Divorced,Research & Development,Research Scientist,No
428,33,Female,Travel_Frequently,5,4,Life Sciences,Married,Research & Development,Manager,No
429,39,Male,Travel_Rarely,10,1,Medical,Married,Research & Development,Manager,No
